user	text	date	type
KimKardashian	Celine's party was so much fun! Happy Birthday baby girl!!!! https://t.co/nEx81LP5ed	Mon Feb 20 04:45:26 +0000 2017	twitter
KimKardashian	Today's vibes channeling Paris! Happy Birthday @ParisHilton Can't wait to celebrate with you soon! 🔥💋🎈🎉 https://t.co/yav6il6sdB	Sat Feb 18 01:23:15 +0000 2017	twitter
KimKardashian	Trifecta https://t.co/owF7EroibT	Fri Feb 17 19:15:28 +0000 2017	twitter
KimKardashian	@kimyonceee we're starting to add it all back in!	Fri Feb 17 18:40:05 +0000 2017	twitter
KimKardashian	New pics on my app #KKWAPP https://t.co/vfvS0wNp6L	Fri Feb 17 18:30:19 +0000 2017	twitter
KimKardashian	RT @FastCoDesign: What it's like to be @KimKardashian's personal emoji designer https://t.co/fP9FwaOvHv https://t.co/dIR0wcPdln	Fri Feb 17 17:09:19 +0000 2017	twitter
KimKardashian	RT @KKHOfficial: Get 5-Star ratings on gigs this weekend to earn stunning new clothes. You'll be the talk of Fashion Week! #KimKardashianGa…	Fri Feb 17 17:09:10 +0000 2017	twitter
KimKardashian	RT @kuwthewests: More photos from this unbelievable hot shoot on Kim's app or in https://t.co/so7TuQfJkW 🔥 https://t.co/FcudTppDkj	Thu Feb 16 23:17:49 +0000 2017	twitter
KimKardashian	RT @KimKanyeKimYeFC: SWIPE the pic left on the #KKWapp for MORE 🔥🔥🔥 https://t.co/HC417l4Lr5	Thu Feb 16 23:17:25 +0000 2017	twitter
KimKardashian	"Vivienne Westwood top, Coach coat, Adidas pants, Yeezy boots #NYFW https://t.co/WcMN9Kx5XI"	Thu Feb 16 23:17:16 +0000 2017	twitter
KimKardashian	I love seeing the amazing transformations on #RevengeBody! So proud of you @khloekardashian! Everyone watch tonight… https://t.co/BcQpLZxG0A	Thu Feb 16 23:04:02 +0000 2017	twitter
KimKardashian	So proud of my baby for his amazing show today! It was so good! I'm so SO proud of him!!! #yeezyseason5	Thu Feb 16 04:51:24 +0000 2017	twitter
KimKardashian	Burgundy Bae #yeezyseason5 https://t.co/LLoLZSNDFK	Thu Feb 16 04:44:32 +0000 2017	twitter
KimKardashian	RT @TeamKanyeDaily: #YeezySeason4 footwear and Zine now available for purchase. https://t.co/ivUmPcijZu	Thu Feb 16 03:41:52 +0000 2017	twitter
KimKardashian	"So I went to Kylie's pop up shop today, stole lip kits &gave them out to everyone in the store for Valentine's!She… https://t.co/VZwWwto83f"	Tue Feb 14 23:50:42 +0000 2017	twitter
KimKardashian	@MolestMeKardash yep!	Tue Feb 14 23:42:53 +0000 2017	twitter
KimKardashian	Happy Valentine's Day https://t.co/p4VIPntyHx	Tue Feb 14 18:37:11 +0000 2017	twitter
KimKardashian	I see people retweeting this from 7 years ago 😂Kourtney hacked me & tweeted this as a joke! I'm dying seeing my old… https://t.co/gvcvFFzl6C	Tue Feb 14 08:10:36 +0000 2017	twitter
KimKardashian	NYFW here we come!!! Thank you @jetluxlife!!! #jetluxlife✈️ https://t.co/Ah9J08AijY	Tue Feb 14 03:10:03 +0000 2017	twitter
KimKardashian	I love working out in my @premadonna87 shaper by @premadonna87 it gives me the extra boost that… https://t.co/pXLQCPVWxa	Tue Feb 14 02:00:39 +0000 2017	twitter
KimKardashian	Kim x Ky Take Costa Rica 🇨🇷 https://t.co/paPQOrKUHT	Sun Feb 12 06:13:33 +0000 2017	twitter
KimKardashian	Don't go chasing waterfalls 💦🌿 https://t.co/kL8DcQzd8a	Sun Feb 12 04:57:02 +0000 2017	twitter
KimKardashian	But Khloe's real weight is really ' Skinny Bitch'	Fri Feb 10 00:48:19 +0000 2017	twitter
KimKardashian	I did not just show Khloe's address on my snap chat! It says Freedom Lane people!!! It's a joke!	Fri Feb 10 00:46:41 +0000 2017	twitter
KimKardashian	It says Freedom Lane! Not her real address! 😘 https://t.co/zsYuol7hyp	Fri Feb 10 00:45:32 +0000 2017	twitter
KimKardashian	Salad Hair Flip! All for @carinerotfeild https://t.co/DOLHeibqjU	Thu Feb 09 23:27:16 +0000 2017	twitter
KimKardashian	Omg this tattoo is everything!!!! I love you!!! https://t.co/NWzrVpEx6u	Thu Feb 09 18:09:13 +0000 2017	twitter
KimKardashian	RT @TheLifeOfJorge: @KimKardashian bruh this #KIMOJI just gets better everytime it's updated 😍	Thu Feb 09 18:08:38 +0000 2017	twitter
KimKardashian	RT @TheWifeOfPablo: Never seen a celeb emojis better than @KimKardashian's the details that go into the designs make it look REAL! I'm so i…	Thu Feb 09 18:08:04 +0000 2017	twitter
KimKardashian	RT @ShinyStew: It amazes me how much thought is put into every single detail! Those new KIMOJIs are on another level 🔥🙌🏼 #KIMOJI @KimKardas…	Thu Feb 09 18:07:48 +0000 2017	twitter
KimKardashian	Awww made it 50 Million twitter followers! This is so exciting!!!! Thank you guys for the follow xoxoxo	Thu Feb 09 18:07:03 +0000 2017	twitter
KimKardashian	RT @kuwthewests: New #KIMOJI available now on your keyboard!! https://t.co/CR7sG5gq2n	Thu Feb 09 18:03:27 +0000 2017	twitter
KimKardashian	RT @kuwthewests: NEW #KIMOJI https://t.co/U2SjLHb6mE	Thu Feb 09 18:03:18 +0000 2017	twitter
KimKardashian	RT @PlanetKhloeK: Look how accurate this #KIMOJI is!! I thought it was a picture at first. The details are EVERYTHING 😍 @KimKardashian http…	Thu Feb 09 18:02:50 +0000 2017	twitter
KimKardashian	RT @lovekardashhian: The detail that goes into the design of @KimKardashian's #KIMOJI is amazing!! They look so real!! https://t.co/nJTMAf3…	Thu Feb 09 17:58:21 +0000 2017	twitter
KimKardashian	RT @lovekardashhian: Make sure to check out the new #KIMOJI added to your keyboard!! https://t.co/q6vN4JiTOB	Thu Feb 09 17:58:09 +0000 2017	twitter
KimKardashian	New KIMOJI's for a free Valentine's gift from me!!! Just check your keyboard or download the Kimoji App! https://t.co/7XwKTunRC8	Thu Feb 09 17:56:45 +0000 2017	twitter
KimKardashian	RT @KimKourtKhloeK: NEW KIMOJI ALERT https://t.co/atZPNMJrhY	Thu Feb 09 17:53:51 +0000 2017	twitter
KimKardashian	https://t.co/9Jcngh3AMN	Thu Feb 09 15:14:08 +0000 2017	twitter
KimKardashian	Late night Dr. Ourian sessions are always the best!	Wed Feb 08 03:34:30 +0000 2017	twitter
KimKardashian	💙 I posted some new pics on https://t.co/M0m4mjqwvP https://t.co/FMGQyW2G2O	Tue Feb 07 22:39:34 +0000 2017	twitter
KimKardashian	🌿💦 JUMP 🌿💦 https://t.co/pgibYeS4Iy	Tue Feb 07 19:38:36 +0000 2017	twitter
KimKardashian	Missing Costa Rica! I put up some new pics from the trip on my #KKWAPP https://t.co/6kelqK66D5	Tue Feb 07 19:28:26 +0000 2017	twitter
